t_lo,t_hi,delta,pair_Q_lowerbound,threshold_L2d2_over_8,certified_margin
54.125,54.28125,0.15625,3.770667e-01,4.238859e-02,3.346781e-01
54.28125,54.4375,0.15625,2.677136e-01,4.238859e-02,2.253250e-01
54.4375,54.59375,0.15625,2.080084e-01,4.238859e-02,1.656198e-01
54.59375,54.75,0.15625,1.968004e-01,4.238859e-02,1.544118e-01
54.75,54.90625,0.15625,1.968004e-01,4.238859e-02,1.544118e-01
54.90625,55.0625,0.15625,2.337864e-01,4.238859e-02,1.913978e-01
55.0625,55.21875,0.15625,3.198600e-01,4.238859e-02,2.774714e-01
55.21875,55.375,0.15625,4.559915e-01,4.238859e-02,4.136029e-01
55.375,55.53125,0.15625,6.409600e-01,4.238859e-02,5.985714e-01
55.53125,55.6875,0.15625,8.686458e-01,4.238859e-02,8.262572e-01
55.6875,55.84375,0.15625,1.125855e+00,4.238859e-02,1.083467e+00
55.84375,56,0.15625,1.391681e+00,4.238859e-02,1.349292e+00
56,56.15625,0.15625,1.639093e+00,4.238859e-02,1.596705e+00
56.15625,56.3125,0.15625,1.838819e+00,4.238859e-02,1.796431e+00
56.3125,56.46875,0.15625,1.964754e+00,4.238859e-02,1.922366e+00
56.46875,56.625,0.15625,1.938304e+00,4.238859e-02,1.895915e+00
56.625,56.78125,0.15625,1.790435e+00,4.238859e-02,1.748047e+00
56.78125,56.9375,0.15625,1.577171e+00,4.238859e-02,1.534783e+00
56.9375,57.09375,0.15625,1.327527e+00,4.238859e-02,1.285138e+00
57.09375,57.25,0.15625,1.072861e+00,4.238859e-02,1.030473e+00
57.25,57.40625,0.15625,8.420180e-01,4.238859e-02,7.996294e-01
57.40625,57.5625,0.15625,6.581149e-01,4.238859e-02,6.157263e-01
57.5625,57.71875,0.15625,5.373105e-01,4.238859e-02,4.949220e-01
57.71875,57.875,0.15625,4.890757e-01,4.238859e-02,4.466871e-01
57.875,58.03125,0.15625,4.890757e-01,4.238859e-02,4.466871e-01
58.03125,58.1875,0.15625,5.170467e-01,4.238859e-02,4.746581e-01
58.1875,58.34375,0.15625,6.195824e-01,4.238859e-02,5.771938e-01
58.34375,58.5,0.15625,7.896217e-01,4.238859e-02,7.472331e-01
58.5,58.65625,0.15625,1.014104e+00,4.238859e-02,9.717156e-01
58.65625,58.8125,0.15625,1.273759e+00,4.238859e-02,1.231370e+00
58.8125,58.96875,0.15625,1.544206e+00,4.238859e-02,1.501818e+00
58.96875,59.125,0.15625,1.798936e+00,4.238859e-02,1.756547e+00
59.125,59.28125,0.15625,2.013913e+00,4.238859e-02,1.971525e+00
59.28125,59.4375,0.15625,2.172678e+00,4.238859e-02,2.130290e+00
59.4375,59.59375,0.15625,2.270204e+00,4.238859e-02,2.227815e+00
59.59375,59.75,0.15625,2.313884e+00,4.238859e-02,2.271495e+00
59.75,59.90625,0.15625,2.312123e+00,4.238859e-02,2.269734e+00
59.90625,60.0625,0.15625,2.305400e+00,4.238859e-02,2.263011e+00
